img_idx,true_label,final_pred,success,queries,l2_norm,init_p,final_p
31,0,390,True,1285.0,5.162702560424805,0.9319631,0.38783574
32,0,391,True,485.0,4.372847080230713,0.91052336,0.33399475
33,0,103,True,2274.0,8.82994270324707,0.86975247,0.17621768
34,0,449,True,5084.0,10.175956726074219,0.90226185,0.2167081
35,0,758,True,0.0,0.0,0.1799063,0.1799063
36,0,758,True,173.0,2.991455078125,0.8390578,0.21747956
37,0,103,True,2183.0,8.171747207641602,0.89747036,0.07019895
38,0,329,True,1417.0,5.548013210296631,0.9071462,0.41313386
39,0,138,True,3975.0,9.83316421508789,0.9267822,0.35553926
40,0,839,True,2803.0,6.795595645904541,0.9384213,0.3899802
41,0,111,True,3036.0,8.282097816467285,0.9346538,0.40601003
42,0,911,True,3845.0,9.272335052490234,0.91728187,0.33891273
43,0,139,True,2929.0,9.357796669006348,0.92061085,0.368411
44,0,387,True,1317.0,5.636375427246094,0.92082024,0.42041147
45,0,102,True,2202.0,8.47697925567627,0.9005121,0.3993102
46,0,28,True,2085.0,8.35860824584961,0.9248804,0.22827093
47,0,389,True,2896.0,9.301576614379883,0.9313376,0.26391786
48,0,109,True,3640.0,7.9791388511657715,0.9204255,0.38296938
49,0,497,True,2733.0,8.80208969116211,0.84104854,0.15555792
50,1,115,True,0.0,0.0,0.08087822,0.08087822
51,1,123,True,2341.0,7.110280990600586,0.9198737,0.33946115
52,1,843,True,3537.0,9.362648963928223,0.90777737,0.025114201
53,1,130,True,4026.0,9.097821235656738,0.92598057,0.045982018
54,1,341,True,0.0,0.0,0.06687754,0.06687754
55,1,853,True,1619.0,5.845072269439697,0.94548345,0.44074616
56,1,294,True,1074.0,4.617199897766113,0.92089635,0.4493175
57,1,3,True,1327.0,4.873599052429199,0.85977846,0.3522783
58,1,321,True,1855.0,5.810522079467773,0.90511173,0.073654905
59,1,749,True,761.0,4.841943264007568,0.7929564,0.19057187
60,1,971,True,364.0,2.8459672927856445,0.8490332,0.36906725
61,1,948,True,100.0,1.9078782796859741,0.89514357,0.3561723
62,1,359,True,3415.0,8.503674507141113,0.8964524,0.07315583
63,1,948,True,766.0,5.072080612182617,0.9138645,0.42024475
64,1,901,True,437.0,3.2003281116485596,0.82501626,0.36199623
65,1,24,True,1867.0,6.632874965667725,0.9227667,0.3615936
66,1,103,True,320.0,3.009516477584839,0.8310037,0.31350645
67,1,35,True,641.0,5.0157856941223145,0.92106724,0.16982092
68,1,504,True,346.0,3.0111336708068848,0.8137567,0.12464031
69,1,794,True,2105.0,8.126667976379395,0.9212405,0.40551785
70,1,394,True,180.0,2.702479362487793,0.7556049,0.20370956
71,1,1,False,3603.0,8.73614501953125,0.9327298,0.2974472
72,1,58,True,709.0,4.705000400543213,0.78235745,0.3501579
73,1,6,True,386.0,4.2307281494140625,0.86376417,0.18320613
74,1,29,True,440.0,4.21334171295166,0.8747615,0.2727823
75,1,458,True,2737.0,8.373150825500488,0.8922261,0.41718197
76,1,340,True,1223.0,6.911053657531738,0.92955375,0.42308116
77,1,519,True,1180.0,5.744924545288086,0.862907,0.357734
78,1,844,True,1055.0,5.124380111694336,0.89129263,0.36599973
79,1,66,True,2045.0,7.386587142944336,0.91160053,0.3837102
80,1,868,True,699.0,5.162298679351807,0.9512563,0.3123549
81,1,455,True,2670.0,8.105408668518066,0.9131086,0.008161696
82,1,191,True,1619.0,5.482699394226074,0.82338923,0.07432943
83,1,957,True,2285.0,6.513010501861572,0.8972802,0.055062536
84,1,646,True,1619.0,7.27012825012207,0.9309403,0.36510113
85,1,344,True,658.0,4.194695949554443,0.8699364,0.3892756
86,1,58,True,253.0,2.9459893703460693,0.89278835,0.404765
87,1,714,True,160.0,2.748997688293457,0.8261718,0.168313
88,1,301,True,232.0,2.9370806217193604,0.9694417,0.45444825
89,1,391,True,1752.0,7.176576614379883,0.9359001,0.35991296
90,1,666,True,209.0,2.4858076572418213,0.8258319,0.38756534
91,1,58,True,0.0,0.0,0.0061634583,0.0061634583
92,1,977,True,1004.0,4.301162242889404,0.8460818,0.19866854
93,1,458,True,2136.0,5.641736030578613,0.9105514,0.40731123
94,1,679,True,3196.0,7.75039529800415,0.9174252,0.024657164
95,1,540,True,1471.0,5.403615951538086,0.9279547,0.46142164
96,1,572,True,1433.0,7.773540496826172,0.91457546,0.18539955
97,1,89,True,936.0,4.858216762542725,0.9214417,0.31808305
98,1,392,True,859.0,4.370050430297852,0.9058325,0.16291322
99,1,973,True,193.0,3.0314440727233887,0.52874035,0.2386937
100,2,3,True,223.0,2.4310688972473145,0.9150232,0.4405393
101,2,844,True,1163.0,4.825528621673584,0.91672236,0.3509407
102,2,958,True,4767.0,6.399921417236328,0.9021239,0.2736882
103,2,3,True,449.0,2.795940399169922,0.87770927,0.4340745
104,2,911,True,3661.0,7.027256011962891,0.90399784,0.07893029
105,2,4,True,71.0,1.940244197845459,0.83470225,0.37483063
106,2,855,True,1762.0,7.125861644744873,0.89641416,0.32440314
107,2,148,True,48.0,1.564887285232544,0.55970603,0.32718724
108,2,4,True,518.0,4.322203636169434,0.89828,0.31185538
109,2,903,True,21.0,0.9737489819526672,0.7259285,0.4134977
110,2,3,True,818.0,3.312225341796875,0.8569664,0.43357214
111,2,4,True,656.0,4.01746129989624,0.885811,0.23471855
112,2,863,True,182.0,2.5188591480255127,0.8706467,0.36999252
113,2,3,True,389.0,3.181110382080078,0.8997812,0.45433375
114,2,3,True,375.0,2.831207513809204,0.8973482,0.43455613
115,2,3,True,5817.0,6.646024703979492,0.9240572,0.19817226
116,2,3,True,431.0,3.403157949447632,0.87692076,0.4310421
117,2,4,True,91.0,1.9943119287490845,0.6728386,0.36942005
118,2,3,True,167.0,2.0640578269958496,0.8664946,0.4468042
119,2,3,True,917.0,5.042464733123779,0.9021239,0.4110627
120,2,3,True,271.0,3.207932233810425,0.89206016,0.40246537
121,2,980,True,3877.0,7.780856609344482,0.90756845,0.1385823
122,2,3,True,44.0,1.5272306203842163,0.91689116,0.45090923
123,2,147,True,1656.0,6.3664069175720215,0.9288073,0.3247798
124,2,3,True,523.0,3.854041814804077,0.9376198,0.44171986
125,2,3,True,747.0,4.559938430786133,0.9001143,0.3767554
126,2,3,True,292.0,2.795168399810791,0.8867573,0.4473041
127,2,149,True,0.0,0.0,0.008293541,0.008293541
